Lat,Long,radius_default,radius_small,radius_rural
48.4379584,-123.3078964,5,10,20
44.2475385,-76.5691113,5,10,20
43.889605,-78.9012235,5,10,20
48.6475636,-123.3992446,5,10,20
43.8091864,-79.130955,5,10,20
51.025513,-114.1285479,5,10,20
44.3722189,-78.7315262,5,10,20
49.8304791,-119.6298739,5,10,20
43.6968175,-79.3174235,5,10,20
45.4704951,-76.6819573,5,10,20
53.5209567,-113.4570624,5,10,20
43.9144778,-78.7887564,5,10,20
45.2981401,-75.8872192,5,10,20
53.5367782,-113.3181284,5,10,20
49.268525,-123.170498,5,10,20
49.5174158,-115.7551845,5,10,20
53.5322466,-113.6199684,5,10,20
49.673769,-124.9239657,5,10,20
50.9529871,-114.1166105,5,10,20
51.6406262,-121.2956366,5,10,20
49.268525,-123.170498,5,10,20
50.6321442,-96.989218,5,10,20
49.3344324,-123.0399994,5,10,20
43.747359,-79.207803,5,10,20
48.6117216,-93.3952784,5,10,20
52.236893,-113.8123374,5,10,20
55.1677338,-118.7961771,5,10,20
49.673832,-112.79968,5,10,20
43.7028892,-79.7908622,5,10,20
52.2956425,-106.6694559,5,10,20
44.1086844,-79.1249345,5,10,20
43.1924021,-79.5592713,5,10,20
43.792141,-79.2578129,5,10,20
43.9762504,-78.1717872,5,10,20
42.9909112,-81.0706925,5,10,20
49.1047608,-122.7339355,5,10,20
43.918164,-78.587508,5,10,20
43.1547492,-80.2596583,5,10,20
45.449526,-75.586893,5,10,20
52.2022748,-105.1311991,5,10,20
43.1388657,-79.10034,5,10,20
49.1038196,-122.6514392,5,10,20
43.456456,-80.4606636,5,10,20
50.263156,-119.2661187,5,10,20
33.8184115,-117.8365331,5,10,20
38.8134269,-90.2920274,5,10,20
39.6768412,-104.9147506,5,10,20
38.5933345,-90.5707346,5,10,20
48.0506364,-122.175756,5,10,20
44.6783683,-90.1619244,5,10,20
38.8588723,-104.7926079,5,10,20
42.9152799,-88.009989,5,10,20
30.3672584,-95.4838711,5,10,20
38.8978518,-94.7784451,5,10,20
44.9257555,-93.3875283,5,10,20
32.821952,-117.184314,5,10,20
36.8080997,-119.7826267,5,10,20
41.5106009,-87.847476,5,10,20
29.1526571,-81.0180112,5,10,20
43.034355,-83.5966976,5,10,20
33.5759742,-111.9070374,5,10,20
47.5432174,-122.6258141,5,10,20
40.7948964,-73.0585523,5,10,20
36.9854151,-121.9178233,5,10,20
42.8635199,-71.3540946,5,10,20
44.9920828,-93.1653246,5,10,20
36.7873125,-76.0005094,5,10,20
41.6827207,-91.5949396,5,10,20
47.7746836,-116.7870872,5,10,20
39.6260787,-84.188008,5,10,20
38.9243212,-94.5856244,5,10,20
46.3554815,-94.7969563,5,10,20
39.3758773,-76.7251362,5,10,20
40.4736321,-80.0969955,5,10,20
42.8596726,-85.7245851,5,10,20
36.1079735,-79.8258269,5,10,20
42.2819767,-83.1867855,5,10,20
39.6371942,-84.3488235,5,10,20
38.7429013,-77.0571693,5,10,20
38.9878731,-76.8214819,5,10,20
41.443124,-87.630236,5,10,20
43.2874086,-76.1459694,5,10,20
37.3343774,-76.7351316,5,10,20
45.4967205,-122.8855271,5,10,20
39.7100498,-104.8090176,5,10,20
35.1383884,-80.6838072,5,10,20
38.7283483,-88.0850376,5,10,20
30.5845226,-97.4108196,5,10,20
37.3378879,-79.2385069,5,10,20
43.024668,-82.453188,5,10,20
38.871446,-104.721924,5,10,20
43.554651,-116.5815653,5,10,20
38.566409,-90.494717,5,10,20
42.9148334,-87.8851498,5,10,20
27.854199,-82.787673,5,10,20
33.0403127,-96.7559065,5,10,20
30.7325907,-95.5705724,5,10,20
42.0215101,-93.6181617,5,10,20
31.5789957,-90.441362,5,10,20
33.426918,-84.556964,5,10,20
34.7290535,-80.7551636,5,10,20
26.571545,-80.05499,5,10,20
30.4505886,-97.6944101,5,10,20
44.2802549,-88.315129,5,10,20
33.1920977,-79.9996305,5,10,20
43.8720247,-91.2197908,5,10,20
28.1126625,-80.6721556,5,10,20
41.941651,-91.714883,5,10,20
40.3855886,-80.0893718,5,10,20
40.7595016,-82.5532653,5,10,20
35.3863546,-119.1078458,5,10,20
40.7734506,-73.7967752,5,10,20
33.4507689,-111.7008915,5,10,20
37.3170426,-120.4705917,5,10,20
40.2871904,-111.6901868,5,10,20
33.8567731,-84.0330963,5,10,20
40.7331351,-89.6326993,5,10,20
37.9370847,-122.0263335,5,10,20
40.698429,-75.174336,5,10,20
38.7453521,-90.5991782,5,10,20
39.8988923,-76.6313617,5,10,20
39.840173,-105.0820237,5,10,20
39.3118414,-84.3776182,5,10,20
41.0071789,-78.4522153,5,10,20
29.7543469,-95.6049844,5,10,20
43.7286988,-87.8111594,5,10,20
28.5233478,-81.3460374,5,10,20
42.5342429,-96.3912248,5,10,20
44.8467928,-123.2288491,5,10,20
44.8884986,-123.0323587,5,10,20
40.5299994,-79.5960292,5,10,20
35.6041125,-105.2265541,5,10,20
42.2200563,-85.8703823,5,10,20
43.1263559,-75.2366295,5,10,20
34.256854,-84.483646,5,10,20
39.8979643,-75.3108867,5,10,20
32.2599461,-110.8011398,5,10,20
21.379477,-157.9318676,5,10,20
41.8517659,-88.2917285,5,10,20
34.8747765,-82.3300558,5,10,20
34.4827199,-84.9473661,5,10,20
35.8642295,-78.5755778,5,10,20
33.2468739,-84.2650396,5,10,20
39.92138,-83.773316,5,10,20
36.10942,-115.261745,5,10,20
32.3806536,-86.1632698,5,10,20
42.1181533,-79.1985941,5,10,20
40.7396102,-84.1241208,5,10,20
38.7300208,-121.2571095,5,10,20
36.7957398,-121.6683208,5,10,20
32.3291814,-111.0467509,5,10,20
39.7866255,-105.1088547,5,10,20
43.0901108,-86.2226683,5,10,20
30.3419118,-94.1698649,5,10,20
26.630773,-80.1443512,5,10,20
37.7219634,-122.153781,5,10,20
45.9777087,-94.361833,5,10,20
43.0296468,-108.3809449,5,10,20
41.128098,-81.608798,5,10,20
34.184322,-118.8746536,5,10,20
40.9982179,-76.4537475,5,10,20
38.6663489,-121.2745004,5,10,20
40.5878942,-74.5035497,5,10,20
42.280867,-83.782129,5,10,20
38.2788474,-77.2112346,5,10,20
42.3684185,-88.1280409,5,10,20
45.6649999,-122.636108,5,10,20
41.3152478,-74.1662776,5,10,20
41.8832243,-87.9408713,5,10,20
41.5752347,-90.544083,5,10,20
42.4655739,-82.931504,5,10,20
35.9645873,-78.9565039,5,10,20
38.7228581,-120.8313279,5,10,20
42.80367,-77.8267499,5,10,20
45.7021513,-121.5239736,5,10,20
46.7203274,-92.099085,5,10,20
40.6802745,-82.5714457,5,10,20
48.2113156,-101.2950102,5,10,20
35.7556445,-81.335742,5,10,20
46.8053964,-92.1696155,5,10,20
45.7670186,-108.5757918,5,10,20
43.6188259,-116.3690646,5,10,20
41.1144815,-73.7699747,5,10,20
33.985386,-118.4244834,5,10,20
32.485413,-86.411937,5,10,20
33.7081509,-116.2662627,5,10,20
33.3487871,-111.822514,5,10,20
32.0023225,-81.1018922,5,10,20
46.9940603,-122.9082912,5,10,20
42.86759,-72.55703,5,10,20
40.3884078,-111.8467721,5,10,20
32.53238,-84.954569,5,10,20
37.5828997,-122.0236424,5,10,20
44.8008579,-106.9530465,5,10,20
40.0854547,-82.8969091,5,10,20
31.8769566,-102.3301619,5,10,20
37.3619524,-120.6130267,5,10,20
43.3081372,-91.796121,5,10,20
34.2880746,-77.872377,5,10,20
36.7980626,-81.681724,5,10,20
35.3991015,-118.9520889,5,10,20
32.3513007,-106.7668254,5,10,20
33.8839317,-118.1255708,5,10,20
45.301246,-122.959882,5,10,20
32.9169241,-80.6669509,5,10,20
40.3339829,-94.8756566,5,10,20
42.6397047,-70.9516966,5,10,20
37.0400369,-76.4076294,5,10,20
27.9949282,-82.1206529,5,10,20
42.3948521,-83.4843114,5,10,20
42.8312226,-78.7489713,5,10,20
39.2464705,-94.4460769,5,10,20
39.4232547,-81.4481596,5,10,20
38.8214453,-90.5142916,5,10,20
45.361587,-122.599495,5,10,20
31.4859097,-97.2123745,5,10,20
32.6233229,-116.9976846,5,10,20
34.4355445,-119.8094013,5,10,20
30.4093709,-91.0094804,5,10,20
44.2309375,-69.7731335,5,10,20
47.7009786,-117.4277176,5,10,20
38.1673681,-79.0567556,5,10,20
38.2328697,-122.6121563,5,10,20
39.5077834,-121.5521756,5,10,20
44.857372,-92.6260853,5,10,20
45.6783765,-122.5765842,5,10,20
38.8616606,-86.5048205,5,10,20
39.5602543,-104.8897861,5,10,20
35.5890547,-80.7948644,5,10,20
41.2731551,-73.7815668,5,10,20
36.9981088,-79.8920817,5,10,20
41.1380073,-100.7613557,5,10,20
38.6499732,-121.511345,5,10,20
47.3014456,-122.3632838,5,10,20
43.4714456,-89.7422085,5,10,20
34.0891335,-117.6818211,5,10,20
38.0996066,-122.571395,5,10,20
47.099009,-122.434296,5,10,20
36.8424548,-76.0495716,5,10,20
28.9083334,-81.9718903,5,10,20
37.7372835,-88.9473236,5,10,20
40.431124,-86.870018,5,10,20
32.3943667,-110.996899,5,10,20
38.4283278,-121.4172453,5,10,20
39.762444,-121.62003,5,10,20
30.2360853,-90.9137134,5,10,20
38.8018017,-90.7172673,5,10,20
41.1242637,-78.7672199,5,10,20
39.9038361,-85.958389,5,10,20
45.0286399,-93.1035464,5,10,20
40.6534919,-111.9504261,5,10,20
38.7442789,-76.9934305,5,10,20
42.4689461,-73.205529,5,10,20
36.0234013,-84.2412322,5,10,20
39.4054174,-104.8579783,5,10,20
38.4180379,-83.7377375,5,10,20
46.8216022,-92.0735214,5,10,20
42.0067005,-88.0046692,5,10,20
34.1345936,-118.2151562,5,10,20
35.0702026,-80.6762541,5,10,20
37.2303127,-121.8853005,5,10,20
39.1518626,-77.0656845,5,10,20
32.0322336,-102.1245729,5,10,20
43.0674026,-88.0275829,5,10,20
34.140312,-117.762839,5,10,20
34.151613,-118.009431,5,10,20
31.7499748,-106.3006223,5,10,20
29.7941601,-95.4841857,5,10,20
38.5472328,-122.8105212,5,10,20
32.6716042,-97.0899765,5,10,20
29.8008656,-90.848899,5,10,20
37.509408,-77.2410775,5,10,20
37.6573167,-77.5260472,5,10,20
41.3861009,-81.6418085,5,10,20
33.226543,-117.3269585,5,10,20
39.927439,-105.0327217,5,10,20
37.7667185,-120.8478138,5,10,20
42.1982993,-83.2242707,5,10,20
35.2498396,-85.1815944,5,10,20
34.2045072,-118.2244676,5,10,20
39.7442782,-81.5158077,5,10,20
38.2926285,-122.4622601,5,10,20
40.086818,-88.24811,5,10,20
40.4060232,-75.5018259,5,10,20
41.0220164,-81.5249277,5,10,20
46.8740038,-113.9996537,5,10,20
42.0062955,-89.3348252,5,10,20
42.0899528,-80.0975744,5,10,20
36.9785538,-122.0272724,5,10,20
37.00554,-85.9279161,5,10,20
36.9155924,-93.9147271,5,10,20
37.9955877,-84.4411485,5,10,20
40.5844617,-122.3754906,5,10,20
33.1124078,-83.2558569,5,10,20
34.8240034,-82.2949315,5,10,20
34.8845751,-86.5695159,5,10,20
39.3712437,-76.4724708,5,10,20
42.2171512,-85.5949316,5,10,20
40.0087069,-88.5764046,5,10,20
40.3562037,-111.7375936,5,10,20
32.961569,-96.698968,5,10,20
33.8663914,-117.5451204,5,10,20
36.5873142,-79.4201849,5,10,20
31.2831611,-90.4680543,5,10,20
38.0204579,-121.3346549,5,10,20
41.5016392,-81.533816,5,10,20
40.8199491,-73.1069597,5,10,20
38.4271381,-78.8501111,5,10,20
38.4185121,-78.9323216,5,10,20
36.866437,-119.740661,5,10,20
37.6755537,-120.9587662,5,10,20
43.110892,-88.49871,5,10,20
40.6240942,-111.8385913,5,10,20
40.4886452,-88.9698322,5,10,20
31.6915209,-89.1368059,5,10,20
36.9546277,-81.0750881,5,10,20
43.130389,-77.486715,5,10,20
42.057777,-71.8625903,5,10,20
41.687944,-86.8629991,5,10,20
48.2981985,-116.547272,5,10,20
39.7585202,-104.9006749,5,10,20
42.1515571,-71.413809,5,10,20
45.5332562,-122.5531552,5,10,20
44.8940274,-92.9448923,5,10,20
43.7039635,-70.3259775,5,10,20
36.5212223,-87.2370288,5,10,20
30.3103551,-81.7369118,5,10,20
36.1393948,-115.0669186,5,10,20
34.4452269,-77.5609483,5,10,20
33.970816,-84.4901473,5,10,20
28.5883113,-81.3652441,5,10,20
36.117011,-80.6616687,5,10,20
44.156746,-93.971334,5,10,20
39.9025273,-75.0391922,5,10,20
45.0647485,-93.3097878,5,10,20
37.9667063,-122.51477,5,10,20
36.2434005,-115.2350026,5,10,20
32.9006888,-117.221916,5,10,20
39.3082225,-76.4744632,5,10,20
36.993527,-120.074598,5,10,20
30.0066267,-95.5511665,5,10,20
43.58952,-116.2934833,5,10,20
41.7496832,-88.0302336,5,10,20
42.0395268,-73.3260164,5,10,20
32.8761727,-97.2372645,5,10,20
48.2926639,-122.657078,5,10,20
40.211854,-75.0984164,5,10,20
41.6845081,-71.506506,5,10,20
32.9861101,-111.5236749,5,10,20
40.8478905,-76.5859053,5,10,20
41.9982722,-87.665131,5,10,20
34.1353602,-116.0587978,5,10,20
34.0345752,-117.0547132,5,10,20
35.7372718,-78.8628391,5,10,20
42.2022676,-83.483592,5,10,20
42.5281823,-83.0677329,5,10,20
32.6780226,-97.1950428,5,10,20
39.5952518,-77.8073706,5,10,20
39.2964145,-119.528682,5,10,20
41.3335318,-75.8021194,5,10,20
44.8889912,-93.0394952,5,10,20
33.9987461,-83.9038665,5,10,20
45.9009078,-95.3651925,5,10,20
43.2247263,-85.5515288,5,10,20
41.6118602,-86.7266446,5,10,20
31.602862,-89.196154,5,10,20
34.0867302,-84.5206421,5,10,20
40.7390667,-73.080338,5,10,20
43.1785831,-88.1149405,5,10,20
34.2302924,-84.0964878,5,10,20
38.4258987,-77.4068064,5,10,20
42.8937085,-112.4520931,5,10,20
39.3954402,-77.343911,5,10,20
34.548879,-77.9261786,5,10,20
33.9846624,-117.3729629,5,10,20
41.5245795,-74.2352626,5,10,20
40.3731046,-75.2044422,5,10,20
41.3060604,-72.5261217,5,10,20
39.9841497,-76.7418397,5,10,20
40.5889327,-73.6592238,5,10,20
43.0133149,-83.741664,5,10,20
47.2562916,-122.509971,5,10,20
31.0654152,-98.1807055,5,10,20
43.1947879,-88.7261648,5,10,20
38.4668404,-121.8299296,5,10,20
44.4127264,-88.7428928,5,10,20
43.3352654,-75.7484109,5,10,20
48.392256,-115.550993,5,10,20
40.7280717,-73.7057241,5,10,20
29.7704305,-95.7500871,5,10,20
41.7955685,-77.0769349,5,10,20
37.8393927,-122.2515888,5,10,20
33.7898081,-118.0310406,5,10,20
39.0659685,-77.0011675,5,10,20
41.7447738,-77.2778459,5,10,20
43.0975557,-87.8876919,5,10,20
33.6402803,-112.1679429,5,10,20
43.9221047,-72.6642892,5,10,20
37.9972704,-88.9200476,5,10,20
44.3977956,-68.3339032,5,10,20
40.3818112,-79.8125463,5,10,20
43.0275782,-74.9890403,5,10,20
36.5709353,-82.1940342,5,10,20
37.3423603,-122.0725881,5,10,20
27.0061521,-82.1566758,5,10,20
35.1986188,-87.0313826,5,10,20
44.8340188,-92.9521069,5,10,20
45.1914114,-93.549862,5,10,20
32.1174516,-81.2541657,5,10,20
44.5699926,-72.5852786,5,10,20
38.474865,-122.672687,5,10,20
35.212968,-94.254809,5,10,20
42.6766146,-82.7460505,5,10,20
40.578166,-80.2200085,5,10,20
39.218454,-76.857164,5,10,20
33.6716868,-117.9691082,5,10,20
40.8679545,-73.3510332,5,10,20
21.2814603,-157.8001249,5,10,20
45.5203874,-123.0535543,5,10,20
40.4209925,-105.0735489,5,10,20
33.678271,-117.372621,5,10,20
33.8380113,-118.3483131,5,10,20
35.066525,-89.840974,5,10,20
33.6364994,-117.6083817,5,10,20
39.7415104,-105.200032,5,10,20
39.2235702,-84.5163619,5,10,20
37.8802594,-122.0751078,5,10,20
37.2675757,-121.9309604,5,10,20
43.1283203,-95.1573495,5,10,20
43.0634044,-77.2303888,5,10,20
42.3054208,-87.9676102,5,10,20
34.1692962,-118.1168944,5,10,20
33.1139151,-89.5660597,5,10,20
38.6995548,-93.2522786,5,10,20
38.8024053,-81.3514112,5,10,20
